Date,AAPL,MSFT,GOOGL
2023-03-14,0.014089259288618372,0.02705579664589619,0.03139061509157237
2023-03-15,0.002621575553643396,0.017830416532559346,0.022773329370109785
2023-03-16,0.018693875679621996,0.0405366775233762,0.043803868918661504
2023-03-17,-0.005453984883693308,0.011694191156659262,0.012958653343924098
2023-03-20,0.01548378929447014,-0.025766522537078562,-0.003936257573818436
2023-03-21,0.011944217585575956,0.005693516476684701,0.036553928054236406
2023-03-22,-0.009103491946597542,-0.005442196041783087,-0.014773089867427425
2023-03-23,0.006969564784961246,0.019721597873548102,0.021572884575439932
2023-03-24,0.008305571941700451,0.010480524020598736,-0.001515015721943569
2023-03-27,-0.012293308180764906,-0.01493417274527331,-0.02826265962365415
2023-03-28,-0.003980516961562763,-0.0041606561233811235,-0.013956586788747227
2023-03-29,0.01979101534553429,0.019183804914198355,0.0035632445492705944
2023-03-30,0.009889808909852027,0.012619826856410388,-0.004931370634788768
2023-03-31,0.015644143785360276,0.014962049708917569,0.02814941865595877
2023-04-03,0.00770177454694676,-0.0037111895748712653,0.006073554056675201
2023-04-04,-0.0032496316851641227,-0.00017438493296850766,0.0034496191307782365
2023-04-05,-0.011290457238565033,-0.009889025255450767,-0.0023874251467574936
2023-04-06,0.0054959487049819344,0.025532752962261318,0.03780982486152218
2023-04-10,-0.01597238408262025,-0.007578860488729577,-0.01826225319433905
2023-04-11,-0.0075911292616487325,-0.022668328123452985,-0.010240521995975804
2023-04-12,-0.004353398991112201,0.002333401789172296,-0.006739464609826218
2023-04-13,0.03410388458349356,0.0223996711233867,0.026662995978761428
2023-04-14,-0.0021139307119361073,-0.012765845997726788,0.013404017687153713
2023-04-17,0.00012082748874009397,0.009296202018567845,-0.02663726516033693
2023-04-18,0.007504706045497578,-0.001489079990300457,-0.013871919636714747
2023-04-19,0.0069683177285586595,0.0002775892779118827,-0.003062073404634713
2023-04-20,-0.0058462278654618505,-0.00811235265992738,0.010654536683757376
2023-04-21,-0.009780893630904397,-0.0012231896488731353,0.0011397165877027327
2023-04-24,0.0018785403449401716,-0.013963007224993218,0.005312622525262878
2023-04-25,-0.009435740494287415,-0.02253596300563121,-0.020005787789648677
2023-04-26,-6.113364418403044e-05,0.07243484265330036,-0.0013479959111111217
2023-04-27,0.028395200338142468,0.03202749330557442,0.037411880153749966
2023-04-28,0.007541071168251312,0.007971798801102103,-0.0023235260475252817
2023-05-01,-0.0005303107079875913,-0.005532855811817283,-0.0013043824272362947
2023-05-02,-0.006191455736421103,-0.0004908553875476729,-0.01753713989653638
2023-05-03,-0.006467184130624526,-0.0033070827801580105,0.0008544892047341879
2023-05-04,-0.009913442720967391,0.003318055865574543,-0.0068305146753381285
2023-05-05,0.04692693301662776,0.017157204545794835,0.008405822922241901
2023-05-08,-0.00040341758428885655,-0.006438003781181756,0.02083916682335829
2023-05-09,-0.009971160743346696,-0.0053459581957499,-0.003897106466878686
2023-05-10,0.010420944826334377,0.017296357204499957,0.04098739691537223
